geography_name,geography_id,cancer_year,cancer_site,incidence_rate,centroid_latitude,centroid_longitude,case_count
Lubbock,48303,2018,leukemia,17.7,33.6114688,-101.8199438,50
Lynn,48305,2018,leukemia,~,33.1784124,-101.8184933,~
Madison,48313,2018,leukemia,~,30.9668782,-95.9303719,~
Marion,48315,2018,leukemia,~,32.7981821,-94.3568533,~
Martin,48317,2018,leukemia,~,32.3098298,-101.9618363,0
Mason,48319,2018,leukemia,~,30.7039156,-99.237302,~
Matagorda,48321,2018,leukemia,~,28.7747601,-96.0015316,~
Maverick,48323,2018,leukemia,~,28.7297873,-100.316678,~
McCulloch,48307,2018,leukemia,~,31.2054766,-99.3598557,~
McLennan,48309,2018,leukemia,20.2,31.5495958,-97.2015108,55
Medina,48325,2018,leukemia,~,29.3536614,-99.1110845,~
Menard,48327,2018,leukemia,~,30.8852677,-99.8588613,0
Midland,48329,2018,leukemia,13.5,31.8142693,-102.0024538,19
Milam,48331,2018,leukemia,~,30.791242,-96.9843946,~
Mills,48333,2018,leukemia,~,31.4948885,-98.5946231,~
Mitchell,48335,2018,leukemia,~,32.3041168,-100.9243924,~
Montague,48337,2018,leukemia,~,33.6783558,-97.7250138,~
Montgomery,48339,2018,leukemia,15.9,30.2988009,-95.50295,94
Moore,48341,2018,leukemia,~,35.8356759,-101.8905018,~
Morris,48343,2018,leukemia,~,33.116466,-94.7312653,~
Motley,48345,2018,leukemia,~,34.0578993,-100.7931519,0
Nacogdoches,48347,2018,leukemia,~,31.6205598,-94.6202497,~
Navarro,48349,2018,leukemia,~,32.0433487,-96.476406,~
Newton,48351,2018,leukemia,~,30.7867182,-93.73925,~
Nolan,48353,2018,leukemia,~,32.3123379,-100.4181078,~
Nueces,48355,2018,leukemia,10.4,27.7399747,-97.516301,40
Ochiltree,48357,2018,leukemia,~,36.2787442,-100.8158636,~
Oldham,48359,2018,leukemia,~,35.4019206,-102.5976203,0
Orange,48361,2018,leukemia,~,30.1223229,-93.8940999,~
Palo Pinto,48363,2018,leukemia,~,32.7522042,-98.3179673,~
Panola,48365,2018,leukemia,~,32.1639784,-94.3051563,~
Parker,48367,2018,leukemia,20.7,32.7770964,-97.8059049,33
Parmer,48369,2018,leukemia,~,34.5321628,-102.7848533,~
Pecos,48371,2018,leukemia,~,30.773298,-102.7181533,~
Polk,48373,2018,leukemia,~,30.7845525,-94.8373376,~
Potter,48375,2018,leukemia,20.7,35.3986751,-101.893804,25
Presidio,48377,2018,leukemia,~,30.0058912,-104.2616192,~
Rains,48379,2018,leukemia,~,32.8704571,-95.795613,~
Randall,48381,2018,leukemia,18.1,34.962529,-101.8955472,29
Reagan,48383,2018,leukemia,~,31.3751911,-101.5143954,~
Real,48385,2018,leukemia,~,29.8300967,-99.812549,~
Red River,48387,2018,leukemia,~,33.6196255,-95.0484293,~
Reeves,48389,2018,leukemia,~,31.308366,-103.712706,~
Refugio,48391,2018,leukemia,~,28.3221157,-97.1624723,0
Robertson,48395,2018,leukemia,~,31.025481,-96.5149408,~
Rockwall,48397,2018,leukemia,~,32.9002804,-96.4120493,~
Runnels,48399,2018,leukemia,~,31.8451193,-99.9827145,~
Rusk,48401,2018,leukemia,26.2,32.1094232,-94.7563823,16
Sabine,48403,2018,leukemia,~,31.3432997,-93.8519129,~
San Augustine,48405,2018,leukemia,~,31.3824492,-94.1631796,~
San Jacinto,48407,2018,leukemia,~,30.5743884,-95.1631363,~
San Patricio,48409,2018,leukemia,~,28.0117944,-97.5171566,~
San Saba,48411,2018,leukemia,~,31.1551375,-98.8192922,~
Schleicher,48413,2018,leukemia,~,30.8962331,-100.5272161,~
Scurry,48415,2018,leukemia,~,32.7443531,-100.9133465,~
Shackelford,48417,2018,leukemia,~,32.7438198,-99.3470045,0
Shelby,48419,2018,leukemia,~,31.7901394,-94.1425794,~
Sherman,48421,2018,leukemia,~,36.2785929,-101.8992648,0
Smith,48423,2018,leukemia,17.4,32.3751053,-95.2689389,50
Somervell,48425,2018,leukemia,~,32.2180714,-97.769217,~
Starr,48427,2018,leukemia,~,26.5309027,-98.7402346,~
Stephens,48429,2018,leukemia,~,32.7380521,-98.8393443,~
Sterling,48431,2018,leukemia,~,31.8357735,-101.0549114,0
Stonewall,48433,2018,leukemia,~,33.1795797,-100.2538069,~
Sutton,48435,2018,leukemia,~,30.5221852,-100.5133594,~
Swisher,48437,2018,leukemia,~,34.5263193,-101.7438647,~
Tarrant,48439,2018,leukemia,16.7,32.7721191,-97.2912241,322
Taylor,48441,2018,leukemia,16.2,32.2971255,-99.8904299,25
Terry,48445,2018,leukemia,~,33.171229,-102.339284,~
Throckmorton,48447,2018,leukemia,~,33.1706954,-99.205796,~
Titus,48449,2018,leukemia,~,33.214599,-94.9667825,~
Tom Green,48451,2018,leukemia,~,31.3975908,-100.4641683,~
Travis,48453,2018,leukemia,16.4,30.2395128,-97.6912697,175
Trinity,48455,2018,leukemia,~,31.096675,-95.1516869,~
Tyler,48457,2018,leukemia,~,30.7692953,-94.3756561,~
Upshur,48459,2018,leukemia,~,32.7353495,-94.9411837,~
Upton,48461,2018,leukemia,~,31.3538163,-102.0415461,0
Uvalde,48463,2018,leukemia,~,29.3503081,-99.768427,~
Val Verde,48465,2018,leukemia,~,29.8752853,-101.1433237,~
Van Zandt,48467,2018,leukemia,~,32.5587866,-95.8369057,~
