geography_name,geography_id,cancer_year,cancer_site,incidence_rate,centroid_latitude,centroid_longitude,case_count,exposure_lag_years,exposure_mean,exposure_rolling12,exposure_max,exposure_exceedances,exposure_wind_weighted,exposure_distance_weighted
Montgomery,48339,2019,leukemia,12.1,30.2988009,-95.50295,78.0,5,1.8078711129458833,1.626614755029066,2.0,0.0,1.7403197032676339,1.8078711129458833
Nueces,48355,2019,leukemia,10.9,27.7399747,-97.516301,41.0,5,1.8055884704777598,1.6242456250888788,1.6,0.0,1.7382356613845091,1.8055884704777598
Orange,48361,2019,leukemia,21.9,30.1223229,-93.8940999,22.0,5,1.8330871144675935,1.647405273741302,1.7,0.0,1.7662950261161876,1.8330871144675935
Parker,48367,2019,leukemia,16.2,32.7770964,-97.8059049,28.0,5,1.808613862810996,1.6270672656544622,3.1,0.0,1.7411659512975926,1.808613862810996
Polk,48373,2019,leukemia,34.0,30.7845525,-94.8373376,17.0,5,1.8137261584034536,1.6320686286954473,3.1,0.0,1.7459966735350485,1.8137261584034536
Potter,48375,2019,leukemia,16.6,35.3986751,-101.893804,19.0,5,1.807951640356383,1.626410015153751,3.1,0.0,1.7405456265448829,1.807951640356383
Randall,48381,2019,leukemia,17.9,34.962529,-101.8955472,30.0,5,1.8079296528488018,1.6263918950539098,3.1,0.0,1.7405230543924417,1.8079296528488018
Rockwall,48397,2019,leukemia,15.4,32.9002804,-96.4120493,16.0,5,1.8093892227182669,1.6277872966766378,3.1,0.0,1.7419187009197075,1.8093892227182669
Smith,48423,2019,leukemia,15.4,32.3751053,-95.2689389,42.0,5,1.8105860436337833,1.6289067290444084,210.0,0.0,1.7430764447914668,1.8105860436337833
Tarrant,48439,2019,leukemia,15.2,32.7721191,-97.2912241,296.0,5,1.808864703998385,1.6273033797331686,3.1,0.0,1.7414077850980103,1.808864703998385
Taylor,48441,2019,leukemia,16.0,32.2971255,-99.8904299,25.0,5,1.807882680478299,1.6263764668685654,3.1,0.0,1.7404624123563401,1.807882680478299
Tom Green,48451,2019,leukemia,13.6,31.3975908,-100.4641683,19.0,5,1.8075653019247704,1.6260813199556514,3.1,0.0,1.7401545405497267,1.8075653019247704
